OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SHAPE,SIGNAL_MAINT_DIST,SIGNAL_TYPE
1370249,16068,1278341.314869999885559,205141.065349999989849,33302,13,65454,GRDWM,26TH AVE S AND S BRANDON CT,0,"(47.55292768100003, -122.29967737399994)", ,NONE
1370250,8307,1275141.179449999937788,242810.928039999998873,27138,13,23261,NE,12TH AVE NE AND NE CAMPUS EB PY,2,"(47.65601220900004, -122.31557218199998)", ,NONE
1370251,3106,1266063.598890000022948,265524.496069999993779,36365,13,225503,NW,PHINNEY AVE N AND N 122ND ST,0,"(47.71778366800004, -122.35421960299999)", ,NONE
1370252,2682,1283544.097860000096262,269071.497420000028796,36171,13,222546,N,42ND AVE NE AND 42ND PL NE,0,"(47.72843088800005, -122.28349021799994)", ,NONE
1370253,8939,1261574.269989999942482,240328.925350000004983,26769,13,21739,MGNL-QA,10TH AVE W AND W ETRURIA ST,0,"(47.64847956300008, -122.37040936099999)", ,NONE
1370254,6112,1258621.524519999977201,250420.717999999993481,23948,13,2354,BLRD,21ST AVE NW AND NW 65TH ST,2,"(47.67597815700003, -122.383210814)", ,NONE
1370255,14240,1271004.330800000112504,212860.246160000009695,32336,13,57512,GRDWM,3RD AVE S AND S HINDS ST,0,"(47.57369863100007, -122.32999140299995)", ,NONE
1370256,8878,1273700.475700000068173,240567.755949999991572,27158,13,23321,NE,FRANKLIN AVE E AND E MARTIN ST,0,"(47.64978751400008, -122.32124094099999)", ,NONE
1370257,10584,1262582.512170000001788,233109.848479999986012,28595,13,34154,MGNL-QA,WILLARD AVE W AND W PROSPECT ST,0,"(47.62874760900007, -122.365736546)", ,NONE
1370258,17705,1264780.215599999995902,197074.734969999990426,34997,13,77508,DLRD,15TH AVE SW AND SW ELMGROVE ST,0,"(47.53009661500005, -122.35393809799996)", ,NONE
1370259,16647,1277631.491639999905601,202393.157509999989998,34291,13,72108,GRDWM,24TH AVE S AND S EDDY ST,0,"(47.54535857400003, -122.30233893599996)", ,NONE
1370260,9669,1283104.335419999901205,237084.610979999997653,28503,13,32506,E,39TH AVE E AND E MCGILVRA ST,0,"(47.64073224300006, -122.28282887899996)", ,NONE
1370261,5144,1262117.149990000063553,254342.018229999986943,24134,13,3519,BLRD,10TH AVE NW AND NW 80TH ST,2,"(47.68691830100005, -122.36934196699997)", ,NONE
1370262,5637,1253999.847460000077263,252325.743539999995846,23825,13,1310,BLRD,35TH AVE NW AND NW 72ND ST,0,"(47.68094296800007, -122.40212473099996)", ,NONE
1370263,3927,1281571.76172999991104,259848.804290000000037,37869,13,235511,N,35TH AVE NE AND NE 103RD ST,2,"(47.703049441000076, -122.29079324999998)", ,NONE
1370264,3118,1261768.427050000056624,265437.196230000001378,36278,13,224508,NW,12TH AVE NW AND NW 121ST ST,0,"(47.71731035500005, -122.37165791099994)", ,NONE
1370265,16553,1283614.445379999931902,202785.567110000003595,33544,13,66361,SE,44TH AVE S AND S BATEMAN ST,0,"(47.546744670000066, -122.27814806699996)", ,NONE
1370266,8660,1261884.20176999992691,241700.808359999995446,26746,13,21712,MGNL-QA,W EMERSON ST AND W RUFFNER ST,0,"(47.65225677600006, -122.36926328599998)", ,NONE
1370267,14215,1258580.817959999898449,212903.940750000008848,31832,13,54121,SW,38TH AVE SW AND SW HINDS ST,0,"(47.57314492300003, -122.38031494699999)", ,NONE
1370268,9600,1275541.844280000077561,237343.937189999996917,28215,13,30139,NE,14TH AVE E AND BOYER AVE E,3,"(47.641048442000056, -122.31352009799997)", ,NONE
1370269,4961,1282151.97472000005655,255147.806650000013178,37951,13,235758,NE,38TH AVE NE AND NE 85TH W ST,3,"(47.69019414500008, -122.28807637399996)", ,NONE
1370270,9704,1257521.952800000086427,237002.895530000008876,27605,13,27302,MGNL-QA,W LYNN ST AND DEAD END 1,0,"(47.63914009000007, -122.38657404199995)", ,NONE
1370271,8893,1255449.197859999956563,240511.588779999990948,26589,13,20851,MGNL-QA,30 UPPER AVE W AND W DRAVUS ST,2,"(47.64864215400007, -122.39526886599998)", ,NONE
1370272,15627,1269208.368179999990389,206953.17748000001302,33019,13,63105,GRDWM,COLORADO AVE S AND S HUDSON ST,3,"(47.55741156200003, -122.33679832799999)", ,NONE
1370273,13787,1281997.561920000007376,214902.850449999998091,30857,13,46713,SE,MOUNT CLAIRE DR S AND SHORELAND DR S,0,"(47.579874784000026, -122.28561969099997)", ,NONE
1370274,19033,1256771.890469999983907,189926.305140000011306,38002,13,300309,SW,42ND AVE SW AND SW 104TH ST,0,"(47.51006484000004, -122.38576402899997)", ,NONE
1370275,10101,1260889.23625999991782,235330.12343000000692,27962,13,28736,MGNL-QA,12TH AVE W AND W BLAINE ST,0,"(47.63474061200003, -122.37278234299998)", ,NONE
1370276,19065,1284109.056060000089929,189799.184249999991152,38148,13,305116,SE,46TH AVE S AND S COOPER ST,0,"(47.51117430000005, -122.27516056699994)", ,NONE
1370277,18413,1256041.652509999927133,193233.18361000000732,34823,13,75732,SW,SW FLETCHER ST AND DEAD END,0,"(47.519088347000036, -122.38898861999996)", ,NONE
1370278,6230,1278703.22796000004746,249952.37265999999363,24805,13,6750,NE,24TH AVE NE AND NE 65TH ST,2,"(47.675773968000044, -122.301674247)", ,NONE
1370279,14267,1260574.252069999929518,212758.427529999986291,32089,13,55511,SW,31ST AVE SW AND SW HINDS ST,0,"(47.572855642000036, -122.37222905799996)", ,NONE
1370280,12779,1272369.151800000108778,220603.722650000010617,30546,13,44714,GRDWM,MAYNARD AVE S AND S CHARLES ST,1,"(47.59499594300007, -122.32507132699999)", ,NONE
1370281,19896,1286556.055870000040159,185667.821679999993648,38393,13,316511,SE,LUTHER AVE S AND S AUGUSTA ST,0,"(47.49997541300007, -122.26494991399994)", ,NONE
1370282,8566,1272345.755189999938011,242010.374829999986105,27255,13,23704,LKUN,2ND AVE NE AND NE NORTHLAKE WAY,2,"(47.65366975400008, -122.32684976299998)", ,NONE
1370283,13928,1276779.925820000004023,214265.219470000010915,31638,13,52751,GRDWM,20TH AVE S AND S FOREST ST,0,"(47.577855157000045, -122.30670655999995)", ,NONE
1370284,2665,1277024.92831000010483,269202.457029999990482,36094,13,221524,N,17TH AVE NE AND NE 137TH ST,0,"(47.728450010000074, -122.30998472499999)", ,NONE
1370285,12137,1277703.493430000031367,224835.656859999988228,30184,13,41726,CNTRL,22ND AVE AND E JAMES S ST,0,"(47.606877035000025, -122.30378364199998)", ,NONE
1370286,16379,1280618.456380000105128,203617.109889999992447,33634,13,66732,GRDWM,33RD AVE S AND DEAD END 3,0,"(47.54886908800006, -122.29034071099994)", ,NONE
1370287,9820,1254975.475229999981821,236543.080099999991944,27690,13,27713,MGNL-QA,31ST AVE W AND W CROCKETT ST,0,"(47.63773841100004, -122.39686329099999)", ,NONE
1370288,17487,1272494.52242000005208,198121.077370000013616,34206,13,71316,GRDWM,8TH AVE S AND S PORTLAND ST,0,"(47.53337818300008, -122.32279984999997)", ,NONE
1370289,13261,1275362.689590000081807,217628.571540000004461,31237,13,51113,GRDWM,16TH AVE S AND S GRAND W ST,0,"(47.58699952600006, -122.31270940299999)", ,NONE
1370290,3402,1276308.29010000010021,263275.505089999991469,36474,13,226301,N-NW,15TH AVE NE AND NE 115TH ST,2,"(47.712166671000034, -122.31243324399998)", ,NONE
1370291,13068,1274574.893880000105128,218734.182549999997718,30467,13,44338,GRDWM,13TH AVE S AND S ATLANTIC ST,0,"(47.58998842600005, -122.31598745499997)", ,NONE
1370292,3406,1276936.803899999940768,263255.786689999978989,36740,13,227707,N,17TH AVE NE AND NE 115TH ST,0,"(47.712145709000026, -122.30987915299994)", ,NONE
1370293,9014,1256017.814310000045225,239840.288679999997839,27623,13,27503,MGNL-QA,28TH AVE W AND W BARRETT ST,3,"(47.64683378500007, -122.39290725099994)", ,NONE
1370294,14313,1255339.468069999944419,212581.449359999998705,31954,13,54525,SW,48TH AVE SW AND SW SPOKANE ST,0,"(47.57208162200004, -122.39341698699997)", ,NONE
1370295,9046,1260783.878700000001118,239675.323559999989811,27863,13,28508,MGNL-QA,13TH AVE W AND W BARRETT ST,0,"(47.64664476000007, -122.37356229)", ,NONE
1370296,13464,1269811.180849999887869,216634.26600000000326,31209,13,50115,GRDWM,UTAH AVE S AND S WALKER ST,0,"(47.583979389000035, -122.33512252199995)", ,NONE
1370297,5341,1272208.961840000003576,253459.929780000005849,24543,13,5532,NW,1ST AVE NE AND NE 77TH ST,3,"(47.68504533600003, -122.32830708999995)", ,NONE
1370298,11504,1278067.350839999970049,228561.094810000009602,29988,13,41111,CNTRL,23RD AVE AND E OLIVE N ST,1,"(47.61710747300003, -122.30259722499994)", ,CITY
1370299,3170,1283022.723650000058115,265042.001860000018496,36801,13,228505,N,40TH AVE NE AND NE 123RD ST,0,"(47.717359130000034, -122.28529943199999)", ,NONE
1370300,15256,1280556.818239999935031,208711.444619999994757,32717,13,59739,SE,33RD AVE S AND S OREGON E ST,0,"(47.562829460000046, -122.29098095699999)", ,NONE
1370301,14719,1282902.867769999895245,211528.168329999985872,32664,13,59543,SE,41ST AVE S AND S COURT ST,0,"(47.57067153600008, -122.28169500999996)", ,NONE
1370302,14412,1257504.61418000003323,212231.668369999999413,31843,13,54132,SW,41ST AVE SW AND SW MANNING ST,0,"(47.57124288000006, -122.384619037)", ,NONE
1370303,15861,1286714.43335000006482,205942.156420000013895,33674,13,67521,SE,54TH AVE S AND S FARRAR ST,0,"(47.55555578900004, -122.26583596599994)", ,NONE
1370304,5513,1266212.941869999980554,252669.653170000005048,24317,13,4706,NW,DAYTON AVE N AND N 74TH ST,0,"(47.68255732200004, -122.35258214399994)", ,NONE
1370305,11653,1282159.076929999981076,227787.709340000001248,30248,13,42537,CNTRL,37TH AVE AND E PINE ST,0,"(47.615200565000066, -122.28595075899995)", ,NONE
1370306,6485,1257517.066020000027493,249128.049079999997048,25124,13,11117,BLRD,24TH AVE NW AND NW 60TH ST,2,"(47.672373985000036, -122.38758712099997)", ,NONE
1370307,14518,1267654.718769999919459,212089.369999999995343,32166,13,56210,GRDWM,ALASKAN WY VI SB WSB WB OFF RP AND WEST SEATTLE BR WB,1,"(47.571406299000046, -122.34349746299995)", ,NONE
1370308,15928,1285457.35840000002645,205709.835140000010142,33461,13,66150,SE,50TH AVE S AND S DAWSON ST,0,"(47.55485473200008, -122.27090839399995)", ,NONE
1370309,14325,1282691.411769999889657,212542.84507000001031,32639,13,59513,SE,SIERRA DR S AND S HORTON ST,0,"(47.57344185800008, -122.28262886399995)", ,NONE
1370310,19396,1284013.460800000000745,188252.220020000007935,38162,13,305452,SE,S RYAN WAY AND CITY LIMITS,0,"(47.50692914500007, -122.27543001899994)", ,NONE
1370311,16300,1255395.89687000005506,203999.763080000004265,32911,13,61728,SW,47TH AVE SW AND SW RAYMOND ST,0,"(47.548562968000056, -122.39248414099995)", ,NONE
1370312,5487,1254928.20304000005126,252820.913079999998445,23998,13,2706,BLRD,32ND AVE NW AND NW 74TH ST,3,"(47.68235200300006, -122.39839767199999)", ,NONE
1370313,14202,1274430.806839999975637,212994.669200000003912,32233,13,57104,GRDWM,13TH AVE S AND S HORTON ST,0,"(47.57424891200003, -122.31612312799996)", ,NONE
1370314,4919,1265595.750960000092164,255337.845429999986663,24267,13,4506,NW,GREENWOOD AVE N AND N 84TH ST,2,"(47.68983726600004, -122.35530146599996)", ,NONE
1370315,8246,1275150.477369999978691,243120.850600000005215,27103,13,23143,NE,12TH AVE NE AND NE 41ST ST,0,"(47.65686219000003, -122.31555868099997)", ,NONE
1370316,10571,1265139.810599999967963,233130.044579999987036,28850,13,35542,MGNL-QA,1ST AVE N AND PROSPECT N ST,0,"(47.62894208700004, -122.35536909999996)", ,NONE
1370317,11527,1271689.872179999947548,228389.042329999996582,29901,13,40557,E,YALE AVE AND DEAD END,0,"(47.616299164000054, -122.328436797)", ,NONE
1370318,4979,1264273.825579999946058,255099.252149999985704,24048,13,3106,NW,3RD AVE NW AND NW 83RD ST,3,"(47.68911150200006, -122.36064853999994)", ,NONE
1370319,16976,1256089.88855000003241,200768.215430000011111,33884,13,68558,SW,WOODSIDE PL SW AND SW MYRTLE ST,0,"(47.53974402700004, -122.38941000199998)", ,NONE
1370320,2996,1263085.454889999935403,266271.49356999999145,35689,13,218740,NW,8TH AVE NW AND NW 125TH ST,3,"(47.71966915300004, -122.36637618599997)", ,NONE
1370321,11577,1266886.85367999994196,228140.700320000003558,29687,13,39542,DWNTN,2ND AVE AND WALL ST,1,"(47.61536100400008, -122.34788713599994)", ,CITY
1370322,4468,1276271.587130000116304,257304.126909999991767,37522,13,233313,N,15TH AVE NE AND NE 92ND ST,2,"(47.69579734300004, -122.31211623899998)", ,NONE
1370323,10840,1265107.779630000004545,231857.469089999998687,28882,13,35575,MGNL-QA,1ST AVE N AND ROY ST,1,"(47.625452282000026, -122.35539690899998)", ,CITY
1370324,4074,1262364.29930999991484,259166.429889999999432,37217,13,231532,BLRD,9TH AVE NW AND NW 97TH ST,0,"(47.70015522500006, -122.36872950199995)", ,NONE
1370325,4003,1278601.5890500000678,259553.508029999997234,37705,13,234521,N,NE 102ND ST AND DEAD END 5,0,"(47.70208519900007, -122.30283088099998)", ,NONE
1370326,8729,1265521.252910000039265,241319.970479999989038,27025,13,22721,LKUN,PHINNEY AVE N AND N 35TH ST,0,"(47.65141095300004, -122.35447894099997)", ,NONE
1370327,14319,1275323.752760000061244,212556.155789999989793,32521,13,58513,GRDWM,16TH AVE S AND S HINDS ST,0,"(47.57309406100006, -122.31247211099998)", ,NONE
1370328,15026,1252944.235300000058487,210017.960840000014286,31759,13,53331,SW,55TH AVE SW AND SW GENESEE ST,3,"(47.56492178000008, -122.40290644699996)", ,NONE
1370329,6367,1287219.731780000030994,249554.445750000013504,26278,13,17506,NE,58TH AVE NE AND DEAD END 1,0,"(47.67512345800003, -122.26708032399995)", ,NONE
1370330,11288,1283245.562940000090748,229608.883360000007087,29486,13,38759,E,LAKE WASHINGTON BLVD E AND E DENNY BLAINE N PL,3,"(47.62024854500004, -122.28168541399998)", ,NONE
1370331,11191,1275366.916410000063479,230079.476129999995464,29036,13,36349,E,MALDEN AVE E AND E THOMAS ST,0,"(47.621127468000054, -122.31366274599998)", ,NONE
1370332,4441,1257124.785440000006929,257456.11488000000827,37041,13,230727,BLRD,NW 91ST ST AND DEAD END 2,0,"(47.69517883800006, -122.38986266899997)", ,NONE
1370333,10433,1268382.133039999986067,233966.854560000007041,28753,13,35255,MGNL-QA,DEXTER AVE N AND LEE ST,2,"(47.631410781000056, -122.34228891699996)", ,NONE
1370334,46418,1268928.640050000045449,235138.171809999999823,28040,13,29454,LKUN,BLAINE ST AND WESTLAKE EAST RDWY AVE N,0,"(47.63465067200008, -122.34016588599997)", ,NONE
1370335,16673,1270008.322350000031292,202187.531909999990603,34224,13,71512,GRDWM,OCCIDENTAL AVE S AND S MICHIGAN ST,0,"(47.544391862000055, -122.33318304599999)", ,NONE
1370336,46094,1260483.343910000054166,203278.961799999990035,33011,13,62739,DLRD,31ST AVE SW AND SW GRAHAM ST,0,"(47.54686797800008, -122.37182958199998)", ,NONE
1370337,6872,1258971.05437000002712,247749.225910000008298,25147,13,11140,BLRD,TALLMAN AVE NW AND NW MARKET ST,2,"(47.66867507400008, -122.38157414899996)", ,NONE
1370338,46594,1265904.808750000083819,212034.760329999990063,587683,13,82000,GRDWM,SW KLICKITAT NR WAY AND SW KLICKITAT SR WY TURN RD,3,"(47.57116226000005, -122.35058064999998)", ,NONE
1370339,10583,1262445.5375800000038,233113.333409999992,28596,13,34155,MGNL-QA,W KINNEAR PL AND W PROSPECT ST,0,"(47.62874968300008, -122.36629221599998)", ,NONE
1370340,12870,1279072.455480000004172,219863.995029999990948,30660,13,45335,CNTRL,M L KING JR WAY S AND S NORMAN ST,2,"(47.59332131300005, -122.29785165299995)", ,NONE
1370341,12854,1277008.882230000104755,220071.399059999996098,30799,13,45732,CNTRL,20TH AVE S AND S INGERSOLL PL,3,"(47.593781844000034, -122.30622930999999)", ,NONE
1370342,19339,1259157.84682000009343,188539.451510000013513,38021,13,300330,SW,35TH AVE SW AND SW 108TH ST,3,"(47.50639508900008, -122.37599929499999)", ,NONE
1370343,6931,1256697.155109999934211,247588.916909999999916,25236,13,11712,BLRD,NW 54TH ST AND DEAD END 3,0,"(47.66810989900006, -122.39078794699998)", ,NONE
1370344,3468,1284634.234179999912158,262775.164869999978691,36774,13,228303,N,EXETER AVE NE AND NE 113TH ST,0,"(47.71122890200007, -122.27858104199998)", ,NONE
1370345,5174,1269898.399280000012368,254188.560820000013337,24232,13,4118,NW,DENSMORE AVE N AND N 80TH E ST,2,"(47.686919053000054, -122.33774373299997)", ,NONE
1370346,4361,1283525.572669999906793,257750.214840000000549,37906,13,235706,N,42ND AVE NE AND NE 95TH ST,2,"(47.69739837800006, -122.28269915799996)", ,NONE
1370347,19874,1287182.157889999914914,185794.050669999996899,38390,13,316508,SE,56TH AVE S AND DEAD END 5,0,"(47.50035331000004, -122.26242695399998)", ,NONE
1370348,9016,1256347.75453000003472,239833.937830000009853,27622,13,27502,MGNL-QA,27TH AVE W AND W BARRETT ST,0,"(47.646834700000056, -122.39156846999998)", ,NONE
1370349,15054,1255274.241059999912977,209918.686350000003586,31985,13,54718,SW,48TH AVE SW AND SW GENESEE ST,3,"(47.56477955500003, -122.39346250399996)", ,NONE
1370350,9943,1273898.280500000109896,235990.481319999991683,28258,13,30331,E,10TH AVE E AND E NEWTON ST,2,"(47.63725179700003, -122.32007982299996)", ,NONE
1370351,4009,1256562.586919999914244,259534.168249999987893,36991,13,230503,BLRD,27TH AVE NW AND NW ESPLANADE,0,"(47.70084342000007, -122.39231603599995)", ,NONE
1370352,17288,1263616.49258999992162,199070.942340000008699,33976,13,69331,DLRD,19TH AVE SW AND SW WEBSTER ST,0,"(47.535504994000064, -122.35880786599995)", ,NONE
1370353,19160,1291855.576390000060201,189406.32972000000882,38354,13,307507,SE,72ND AVE S AND S TAFT ST,0,"(47.51049101400008, -122.24379161799999)", ,NONE
1370354,12108,1272921.338680000044405,225044.454300000012154,29799,13,40326,E,BOREN AVE AND CHERRY ST,1,"(47.607197205000034, -122.32318221699995)", ,NONE
1370355,15724,1258465.043240000028163,206518.447500000009313,32783,13,61126,SW,38TH AVE SW AND SW DAWSON ST,0,"(47.555636304000075, -122.38026391499994)", ,NONE
1370356,10824,1264787.491369999945164,231959.42058000000543,28619,13,34178,MGNL-QA,QUEEN ANNE AVE N AND W ROY ST,2,"(47.625714353000035, -122.35670368099994)", ,CITY
1370357,5895,1280177.899070000043139,251252.348090000014054,24684,13,6337,NE,30TH AVE NE AND NE 70TH W ST,0,"(47.67941416100007, -122.29578967799995)", ,NONE
1370358,4320,1269731.33597999997437,257996.435900000011316,37321,13,232304,NW,WOODLAWN AVE N AND N 95TH ST,0,"(47.69734732200004, -122.33872428899997)", ,NONE
1370359,13823,1251441.25417000008747,214719.585679999989225,30975,13,47709,SW,60TH AVE SW AND SW STEVENS ST,0,"(47.577724346000025, -122.40938301199998)", ,NONE
1370360,7153,1264976.324650000082329,246720.973490000003949,25340,13,12341,NW,1ST AVE NW AND PALMER E DR NW,0,"(47.66618527500003, -122.35712328899996)", ,NONE
1370361,17977,1267474.010930000105873,195688.508800000010524,34966,13,77114,DLRD,6TH AVE SW AND SW CLOVERDALE ST,0,"(47.526442409000026, -122.34292615499999)", ,NONE
1370362,17694,1258508.120360000059009,197095.796089999988908,34672,13,75115,SW,37TH AVE SW AND SW SOUTHERN ST,0,"(47.52981177100003, -122.37932295199994)", ,NONE
1370363,16604,1256301.58851999999024,202542.934659999998985,33853,13,68516,SW,44TH AVE SW AND FAUNTLEROY WAY SW,2,"(47.54462014200004, -122.38869830399994)", ,NONE
1370364,14286,1281698.56902000005357,212673.684879999986151,32634,13,59508,SE,37TH PL S AND S HORTON ST,0,"(47.57374916200007, -122.286660343)", ,NONE
1370365,10046,1277390.270259999902919,235646.542500000010477,28454,13,31741,NE,22ND AVE E AND DEAD END,0,"(47.63649312200005, -122.30589168499995)", ,NONE
1370366,12183,1281503.524669999955222,224567.178909999987809,30316,13,42722,CNTRL,35TH AVE AND E CONOVER CT,0,"(47.606339140000046, -122.28836131299994)", ,NONE
1370367,8363,1272365.715249999891967,242693.377960000012536,27230,13,23552,LKUN,2ND AVE NE AND NE 40TH ST,2,"(47.65554290700004, -122.32682256999999)", ,NONE
1370368,11041,1275638.194230000022799,230853.619869999994989,29011,13,36323,E,15TH AVE E AND E REPUBLICAN N ST,2,"(47.62326368200007, -122.312623283)", ,CITY
1370369,16724,1256651.322919999947771,201973.144449999992503,33758,13,68114,SW,CALIFORNIA AVE SW AND SW HOLLY ST,3,"(47.54307775400008, -122.38723595799996)", ,NONE
1370370,11223,1278765.923900000052527,229959.77846000000136,29275,13,37344,CNTRL,25TH AVE E AND E MADISON ST,2,"(47.62097777900004, -122.29987338399997)", ,NONE
1370371,11593,1271813.802039999980479,227999.639449999987846,29863,13,40518,E,MELROSE AVE AND PINE ST,2,"(47.615238420000026, -122.32790375499997)", ,CITY
1370372,13645,1259297.69527000002563,215753.731729999999516,31058,13,48315,SW,37TH AVE SW AND SW ADMIRAL E WAY,1,"(47.580995494000035, -122.37764300899994)", ,NONE
1370373,8979,1269215.008559999987483,240024.355500000005122,26909,13,22355,LKUN,CARR PL N AND N 34TH ST,1,"(47.64805888400008, -122.33939243299994)", ,NONE
1370374,16119,1271255.929909999947995,204890.797959999996237,33179,13,64716,GRDWM,5TH AVE S AND S ORCAS ST,0,"(47.55186798900007, -122.32834514999996)", ,NONE
1370375,7227,1283917.913149999920279,246479.517099999997299,26228,13,16709,NE,44TH AVE NE AND NE 52ND ST,0,"(47.66652565900006, -122.28024573099998)", ,NONE
1370376,4348,1255066.971429999917746,257802.80773999998928,37026,13,230710,BLRD,NW 92ND ST AND DEAD END 6,0,"(47.69601469100007, -122.39824567799997)", ,NONE
1370377,5138,1272881.814070000080392,254357.730739999999059,24528,13,5512,N,LATONA AVE NE AND NE 81ST ST,0,"(47.68754197800007, -122.32564658099994)", ,NONE
1370378,4311,1272923.50340999988839,258067.516860000003362,37569,13,233702,N,3RD AVE NE AND NE 95TH ST,0,"(47.69771259300006, -122.32576943299995)", ,NONE
1370379,12478,1271772.240950000006706,222759.573659999994561,30495,13,44526,DWNTN,5TH AVE S AND S WASHINGTON ST,2,"(47.60087333000007, -122.32765971599997)", ,CITY
1370380,9518,1260385.807659999933094,237682.664619999995921,27914,13,28569,MGNL-QA,14TH AVE W AND GILMAN DR W,2,"(47.64116115600007, -122.37501495699996)", ,NONE
1370381,8649,1268766.243890000041574,241725.690800000011222,26871,13,22316,LKUN,INTERLAKE AVE N AND N 38TH ST,0,"(47.65269808600004, -122.34134796499995)", ,NONE
1370382,19038,1288586.932040000101551,189896.971380000002682,38201,13,306126,SE,61ST AVE S AND S COOPER ST,0,"(47.511670878000075, -122.25705196499996)", ,NONE
1370383,7358,1267070.726699999999255,245991.285680000000866,25654,13,13718,LKUN-NW,LINDEN AVE N AND N 49TH ST,0,"(47.66429860100004, -122.34856669299995)", ,NONE
1370384,15142,1285571.483199999900535,209515.406989999988582,32580,13,59319,SE,50TH AVE S AND S ADAMS ST,3,"(47.565291700000046, -122.27073413999995)", ,NONE
1370385,5045,1266913.429289999883622,254783.045049999986077,24271,13,4510,NW,FREMONT AVE N AND N 82ND ST,0,"(47.68838789800003, -122.34990800399999)", ,NONE
1370386,12317,1273497.286450000014156,223692.26844000001438,29836,13,40368,E,BROADWAY AND E SPRUCE ST,2,"(47.60352143500006, -122.32074193099999)", ,NONE
1370387,17374,1280507.172669999999925,198620.209020000009332,167697,13,72459,GRDWM,BEACON ER AVE S AND S WEBSTER S ST,3,"(47.535166805000074, -122.29040816999998)", ,NONE
1370388,11130,1276268.027960000094026,230408.292509999999311,29358,13,37720,CNTRL-E,17TH AVE E AND E HARRISON ST,0,"(47.62207620700008, -122.31003508999999)", ,NONE
1370389,2444,1280041.438779999967664,271095.449290000018664,35992,13,221106,N,NE 145TH ST AND 28TH AVE NE,1,"(47.733796676000054, -122.29787640199999)", ,NONE
1370390,15664,1277709.145400000037625,206781.669770000007702,33228,13,65145,GRDWM,24TH AVE S AND S HUDSON ST,0,"(47.55739151600005, -122.30236374799995)", ,NONE
1370391,10272,1255575.613469999982044,234544.176799999986542,27751,13,27787,MGNL-QA,MAGNOLIA BLVD W AND W GALER ST,2,"(47.63229296800006, -122.39426507399997)", ,NONE
1370392,8371,1273197.489719999954104,242668.356269999989308,27115,13,23167,LKUN,NE 40TH ST AND NE PACIFIC ST,1,"(47.65551852400006, -122.32344624699999)", ,NONE
1370393,8023,1263228.074539999943227,243838.857649999990826,26631,13,21143,LKUN-BLRD,6TH AVE NW AND LEARY N WAY NW,1,"(47.65819044500006, -122.36398436799999)", ,NONE
1370394,11608,1275182.968630000017583,227950.398370000009891,29742,13,40117,E,14TH AVE AND E PINE ST,2,"(47.61528200300006, -122.31424237499999)", ,NONE
1370395,10389,1266810.857259999960661,234094.153120000002673,28908,13,35667,MGNL-QA,BIGELOW AVE N AND LEE ST,0,"(47.63167506500008, -122.34867046399995)", ,NONE
1370396,18101,1273048.226610000012442,194965.435519999999087,35108,13,78145,GRDWM,10TH AVE S AND S TRENTON ST,0,"(47.52475798800003, -122.32031202399997)", ,NONE
1370397,4282,1283148.634169999975711,258263.450810000009369,37896,13,235543,N,NE 96TH ST AND DEAD END 7,0,"(47.69878568400003, -122.28426886799997)", ,NONE
1370398,4183,1282891.826750000007451,258560.393400000000838,37892,13,235537,N,40TH AVE NE AND DEAD END 3,0,"(47.69958632400005, -122.28533431699998)", ,NONE
1370399,47251,1274686.446389999939129,220402.034329999994952,583335,13,982,GRDWM,MOUNTAINS TO SOUND TRL AND MTS GOLF CONNCT TRL,0,"(47.594565868000075, -122.31566565799994)", , 
1370400,17427,1263204.094760000007227,198417.625729999999749,33984,13,69341,DLRD,DELRIDGE WAY SW AND SW HOLDEN ST,1,"(47.53369186300006, -122.36042454099999)", ,CITY
1370401,13980,1275129.466680000070482,213936.889490000001388,31313,13,51332,GRDWM,15TH AVE S AND S STEVENS ST,2,"(47.57686839000007, -122.31336661699999)", ,NONE
1370402,15719,1285049.162560000084341,206523.998090000008233,33444,13,66132,SE,48TH AVE S AND S HUDSON E ST,0,"(47.55706544800006, -122.27262285199998)", ,NONE
1370403,2610,1278862.294070000061765,269726.066379999974743,36088,13,221518,N,24TH AVE NE AND NE 140TH ST,0,"(47.72998161400005, -122.30256097799997)", ,NONE
1370404,15781,1271272.787509999936447,206263.274629999999888,33147,13,64509,GRDWM,5TH AVE S AND S DAWSON ST,0,"(47.555630810000025, -122.32838486399999)", ,NONE
1370405,10031,1264468.984110000077635,235702.186409999994794,27836,13,28323,MGNL-QA,1ST AVE W AND W HOWE ST,0,"(47.635955796000076, -122.35829579799997)", ,NONE
1370406,13341,1278416.126780000049621,217319.99476999999024,31419,13,52125,SE,25TH AVE S AND S HOLGATE ST,0,"(47.586313956000026, -122.30031456699999)", ,NONE
1370407,9048,1265482.736169999931008,239670.633639999985462,28049,13,29505,MGNL-QA,FLORENTIA ST AND WARREN AVE N,3,"(47.646888114000035, -122.35450291799998)", ,NONE
1370408,15959,1284589.856059999903664,205579.953539999987697,33475,13,66166,SE,47TH AVE S AND S BENNETT ST,0,"(47.55445424700008, -122.27441108399995)", ,NONE
1370409,7871,1267343.440170000074431,244434.410670000012033,26941,13,22524,LKUN,AURORA AVE N AND N 44TH ST,1,"(47.66004599100006, -122.34733587199997)", ,NONE
